Filename,Month,Year,Cloud_Ratio
S2_Guwahati_Apr2021_Raster.tif,April,2021,0.050577227
S2_Guwahati_Apr2022_Raster.tif,April,2022,0.88471663
S2_Guwahati_Apr2023_Raster.tif,April,2023,0.0041397754
S2_Guwahati_Apr2024_Raster.tif,April,2024,0.075912915
S2_Guwahati_Aug2021_Raster.tif,August,2021,0.90619504
S2_Guwahati_Aug2022_Raster.tif,August,2022,0.56262094
S2_Guwahati_Aug2023_Raster.tif,August,2023,0.781526
S2_Guwahati_Aug2024_Raster.tif,August,2024,0.22124663
S2_Guwahati_Dec2021_Raster.tif,December,2021,0.05470475
S2_Guwahati_Dec2022_Raster.tif,December,2022,0.5723593
S2_Guwahati_Dec2023_Raster.tif,December,2023,0.00022876942
S2_Guwahati_Dec2024_Raster.tif,December,2024,0.08994846
S2_Guwahati_Feb2021_Raster.tif,February,2021,0.032241818
S2_Guwahati_Feb2022_Raster.tif,February,2022,0.8260224
S2_Guwahati_Feb2023_Raster.tif,February,2023,0.09304612
S2_Guwahati_Feb2024_Raster.tif,February,2024,0.47378018
S2_Guwahati_Jan2021_Raster.tif,January,2021,0.1686703
S2_Guwahati_Jan2022_Raster.tif,January,2022,0.37457857
S2_Guwahati_Jan2023_Raster.tif,January,2023,0.00059683184
S2_Guwahati_Jan2024_Raster.tif,January,2024,0.1880488
S2_Guwahati_Jul2021_Raster.tif,July,2021,0.6754736
S2_Guwahati_Jul2022_Raster.tif,July,2022,0.758864
S2_Guwahati_Jul2023_Raster.tif,July,2023,0.24777454
S2_Guwahati_Jul2024_Raster.tif,July,2024,0.30021915
S2_Guwahati_Jun2021_Raster.tif,June,2021,0.40317926
S2_Guwahati_Jun2022_Raster.tif,June,2022,0.80171883
S2_Guwahati_Jun2023_Raster.tif,June,2023,0.04634862
S2_Guwahati_Jun2024_Raster.tif,June,2024,0.5748435
S2_Guwahati_Mar2021_Raster.tif,March,2021,0.02143629
S2_Guwahati_Mar2022_Raster.tif,March,2022,0.00029809348
S2_Guwahati_Mar2023_Raster.tif,March,2023,0.09964641
S2_Guwahati_Mar2024_Raster.tif,March,2024,0.49195695
S2_Guwahati_May2021_Raster.tif,May,2021,0.6193876
S2_Guwahati_May2022_Raster.tif,May,2022,0.73567766
S2_Guwahati_May2023_Raster.tif,May,2023,0.06564393
S2_Guwahati_May2024_Raster.tif,May,2024,0.8538342
S2_Guwahati_Nov2021_Raster.tif,November,2021,0.0922023
S2_Guwahati_Nov2022_Raster.tif,November,2022,0.009134494
S2_Guwahati_Nov2023_Raster.tif,November,2023,0.21675815
S2_Guwahati_Nov2024_Raster.tif,November,2024,0.06275956
S2_Guwahati_Oct2021_Raster.tif,October,2021,0.13727164
S2_Guwahati_Oct2022_Raster.tif,October,2022,0.76621085
S2_Guwahati_Oct2023_Raster.tif,October,2023,0.71511626
S2_Guwahati_Oct2024_Raster.tif,October,2024,0.5253159
S2_Guwahati_Sep2021_Raster.tif,September,2021,0.33377248
S2_Guwahati_Sep2022_Raster.tif,September,2022,0.5698693
S2_Guwahati_Sep2023_Raster.tif,September,2023,0.6214788
S2_Guwahati_Sep2024_Raster.tif,September,2024,0.25358662
